codigo,univComp
20061608,216
20061609,130
20061610,157
20061611,115
20061701,113
20061702,123
20061703,86
20061704,120
20061705,211
20061706,109
20061707,84
20061801,93
20061802,79
20061803,88
20061804,136
20061805,135
20061806,179
20061807,175
20061808,147
20061809,120
20061901,145
20061902,238
20061903,201
20061904,135
20061905,93
20061906,164
20061907,128
20061908,114
20062001,67
20062002,70
20062003,137
20062004,84
20062005,132
20062006,139
20062007,72
20062008,176
20062009,116
20062010,110
20062101,75
20062102,147
20062103,143
20062104,60
20062105,118
20062106,66
20062107,97
20062108,139
20062109,91
20062110,88
20062111,100
20070101,34
20070102,38
20070103,35
20070104,32
20070105,11
20070106,27
20070107,26
20070108,43
20070109,33
20070110,65
20070201,57
20070202,82
20070203,55
20070204,101
20070205,47
20070206,50
20070207,41
20070208,52
20070209,70
20070301,51
20070302,91
20070303,92
20070304,91
20070305,73
20070306,68
20070307,124
20070308,63
20070309,53
20070310,110
20070401,69
20070402,45
20070403,144
20070404,133
20070405,86
20070406,156
20070407,151
20070408,150
20070409,40
20070410,112
20070501,117
20070502,78
20070503,81
20070504,116
20070505,147
20070506,65
20070507,64
20070508,56
20070509,99
20070601,92
20070602,52
20070603,39
20070604,47
20070605,63
20070606,64
20070607,92
20070608,41
20070609,78
20070701,40
20070702,29
20070703,81
20070704,48
20070705,52
20070706,70
20070707,34
20070708,41
20070709,53
20070710,103
20070711,55
20070801,64
20070802,66
20070803,47
20070804,62
20070805,62
20070806,60
20070807,85
20070808,62
20070901,65
20070902,71
20070903,43
20070904,74
20070905,48
20070906,66
20070907,55
20070908,70
20070909,40
20070910,49
20070911,31
20071001,79
20071002,41
20071003,57
20071004,78
20071005,67
20071006,88
20071007,91
20071008,121
20071009,72
20071010,105
20071101,65
20071102,120
20071103,87
20071104,103
20071105,77
20071106,87
20071107,155
20071108,139
20071109,120
20071110,74
20071201,110
20071202,41
20071203,54
20071204,76
20071205,62
20071206,71
20071207,42
20071208,25
20071209,47
20071301,61
20071302,71
20071303,111
20071304,69
20071305,115
20071306,86
20071307,42
20071308,30
20071309,39
20071310,67
20071311,75
20071312,42
20071313,46
20071314,54
20071315,40
20071401,44
20071402,50
20071403,44
20071404,45
20071405,54
20071406,62
20071407,47
20071408,58
20071409,28
20071410,41
20071411,44
20071412,60
20071413,30
20071501,11
20071502,25
20071503,33
20071504,25
20071505,25
20071506,27
20071507,21
20071508,18
20071509,20
20071510,13
20071511,17
20071601,50
20071602,37
20071603,52
20071604,32
20071605,35
20071606,52
20071607,30
20071608,22
20071609,31
20071701,6
20071702,2
20071703,8
20071704,3
20071705,3
20071706,8
20071707,13
20071708,2
20071709,9
20071710,5
20071711,3
20071801,3
20071802,1
20071803,2
20071804,7
20071805,4
20071806,4
20071807,6
20071808,5
20071809,7
20071810,7
20071811,3
20071901,7
20071902,11
20071903,5
20071904,8
20071905,4
20071906,10
20072001,66
20072002,36
20072003,51
20072004,22
20072005,33
20072006,37
20072007,29
20072008,37
20072009,22
20072010,16
20072011,25
20072012,12
20072013,26
20072101,92
20072102,124
20072103,110
20072104,56
20072105,74
20072106,126
20072107,53
20072108,25
20072109,62
20072110,89
20072111,49
20072112,69
20072201,62
20072202,112
20072203,93
20072204,103
20072205,85
20072206,80
20072207,60
20072208,63
20072209,53
20072210,52
20072211,74
20072212,41
20072213,69
20072301,65
20072302,112
20072303,96
20072304,69
20072305,57
20072306,48
20072307,58
20072308,52
20072309,54
20072401,57
20072402,52
20072403,49
20072404,54
20072405,52
20072406,54
20072407,47
20072408,28
20072409,44
20072410,34
20072411,41
20080101,3
20080102,7
20080103,1
20080104,2
20080105,3
20080106,7
20080107,0
20080108,7
20080109,8
20080110,5
20080111,2
20080112,7
20080201,10
20080202,1
20080203,4
20080204,5
20080205,4
20080206,7
20080207,13
20080208,9
20080209,11
20080210,13
20080301,14
20080302,11
20080303,6
20080304,15
20080305,26
20080306,8
20080307,8
20080308,2
20080309,5
20080310,2
20080401,13
20080402,10
20080403,12
20080404,14
20080405,26
20080406,20
20080407,12
20080408,18
20080409,25
20080410,18
20080411,18
20080501,19
20080502,14
20080503,21
20080504,15
20080505,7
20080506,11
20080507,14
20080508,14
20080509,24
20080510,29
20080511,20
20080601,21
20080602,31
20080603,15
20080604,14
20080605,17
20080606,11
20080607,13
20080608,21
20080609,15
20080610,14
20080611,18
20080701,9
20080702,10
20080703,6
20080704,3
20080705,3
20080706,0
20080707,2
20080708,3
20080709,7
20080710,4
20080711,11
20080712,6
20080713,9
20080714,7
20080801,12
20080802,32
20080803,30
20080804,40
20080805,21
20080806,39
20080807,43
20080808,25
20080809,15
20080810,19
20080811,23
20080901,14
20080902,18
20080903,29
20080904,13
20080905,61
20080906,8
20080907,27
20080908,20
20080909,25
20081001,15
20081002,13
20081003,13
20081004,51
20081005,26
20081006,32
20081007,24
20081008,13
20081101,46
20081102,35
20081103,51
20081104,33
20081105,19
20081201,28
20081202,30
20081203,17
20081204,14
20081205,44
20081206,23
20081207,23
20081301,0
20081302,2
20081303,4
20081304,17
20081305,10
20081306,11
20081307,7
20081308,8
20081401,3
20081402,6
20081403,6
20081404,5
20081405,11
20081406,4
20081407,10
20081408,12
20081409,4
20081410,6
20081501,6
20081502,2
20081503,5
20081504,0
20081505,6
20081506,2
20081507,2
20081508,3
20081509,10
20081510,9
20081601,5
20081602,3
20081603,3
20081604,4
20081605,3
20081606,9
20081607,3
20081608,6
20081609,5
20081610,7
20081701,19
20081702,18
20081703,17
20081704,32
20081705,20
20090101,20
20090102,21
20090103,39
20090104,29
20090105,29
20090106,27
20090107,34
20090108,24
20090109,43
